circuit,tournament,country,year,date,gender,match_num,w_player1,w_p1_birthdate,w_p1_age,w_p1_hgt,w_p1_country,w_player2,w_p2_birthdate,w_p2_age,w_p2_hgt,w_p2_country,w_rank,l_player1,l_p1_birthdate,l_p1_age,l_p1_hgt,l_p1_country,l_player2,l_p2_birthdate,l_p2_age,l_p2_hgt,l_p2_country,l_rank,score,duration,bracket,round,w_p1_tot_attacks,w_p1_tot_kills,w_p1_tot_errors,w_p1_tot_hitpct,w_p1_tot_aces,w_p1_tot_serve_errors,w_p1_tot_blocks,w_p1_tot_digs,w_p2_tot_attacks,w_p2_tot_kills,w_p2_tot_errors,w_p2_tot_hitpct,w_p2_tot_aces,w_p2_tot_serve_errors,w_p2_tot_blocks,w_p2_tot_digs,l_p1_tot_attacks,l_p1_tot_kills,l_p1_tot_errors,l_p1_tot_hitpct,l_p1_tot_aces,l_p1_tot_serve_errors,l_p1_tot_blocks,l_p1_tot_digs,l_p2_tot_attacks,l_p2_tot_kills,l_p2_tot_errors,l_p2_tot_hitpct,l_p2_tot_aces,l_p2_tot_serve_errors,l_p2_tot_blocks,l_p2_tot_digs
FIVB,Moscow,Russia,2008,2008-06-30,W,46,Bibiana Candelas,1983-12-02,24.5776865,77,Mexico,Mayra Garcia,1972-05-16,36.1232033,68,Mexico,23,Inese Jursone,1981-11-13,26.6283368,71,Latvia,Inguna Minusa,1977-08-17,30.8692676,69,Latvia,"26, Q4","19-21, 22-20, 17-15",00:58:00,Pool G,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Espinho,Portugal,2006,2006-06-14,M,37,Clemens Doppler,1980-09-06,25.7686516,79,Austria,Peter Gartmayer,1978-02-25,28.2984257,76,Austria,13,Paul Laciga,1970-11-24,35.5537303,76,Switzerland,Sascha Heyer,1972-07-21,33.8973306,80,Switzerland,19,"23-21, 21-16",00:44:00,Contender's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Hermosa Beach,United States,2017,2017-07-20,M,81,Ian Satterfield,1991-08-08,25.9493498,78,United States,Paul Araiza,1981-10-29,35.7234771,73,United States,Q3,Jeremy Simpkins,NA,NA,NA,United States,Matt Heagy,1980-02-05,37.4537988,76,United States,Q67,"21-15, 21-18",00:51:00,Qualifier Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Kristiansand,Norway,2010,2010-08-09,W,28,Eva Hamzaoui,1985-02-04,25.5085558,70,France,Mathilde Giordano,1979-07-02,31.1047228,70,France,20,Nora Tawhid,1983-01-17,27.559206,70,Sweden,Rivia Oliveira,1985-02-18,25.4702259,65,Sweden,"29, Q23","21-12, 21-12",00:28:00,Contender's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Anapa,Russia,2013,2013-07-23,W,67,Maria Prokopeva,1986-08-16,26.934976,72,Russia,Svetlana Popova,1988-07-02,25.0568104,73,Russia,6,Christine Aulenbrock,1992-03-26,21.3251198,72,Germany,Cinja Tillmann,1991-07-13,22.0287474,69,Germany,19,"21-18, 21-16",00:33:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2011,2011-07-25,W,63,Elsa Baquerizo,1987-06-25,24.0821355,71,Spain,Liliana Fernandez,1987-01-04,24.5530459,70,Spain,13,Marleen Van Iersel,1988-01-07,23.5455168,71,Netherlands,Sanne Keizer,1985-02-06,26.4613279,71,Netherlands,8,"21-19, 23-25, 17-15",00:54:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2008,2008-07-21,W,67,Chen Xue,1989-02-18,19.4195756,75,China,Xi Zhang,1985-04-19,23.2553046,72,China,4,Carolina Salgado,1987-08-06,20.9582478,70,Brazil,Maria Clara Salgado,1983-05-06,25.21013,69,Brazil,5,"19-21, 21-14, 16-14",01:01:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Myslowice,Poland,2010,2010-05-25,M,7,Alexander Horst,1982-12-20,27.4277892,73,Austria,Florian Gosch,1980-08-16,29.7713895,77,Austria,13,Matt Fuerbringer,1974-01-29,36.3175907,80,United States,Nick Lucena,1979-09-22,30.6721424,73,United States,"20, Q4","21-15, 21-19",00:49:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Kristiansand,Norway,2008,2008-08-25,W,2,Birgitte Blitzner,1986-03-07,22.4695414,70,Norway,Rita Eritsland,1985-03-12,23.4551677,68,Norway,Q15,Anne Lene Hvalen,1969-12-08,38.7132101,73,Norway,Sofie Praesthus,1977-07-22,31.0937714,73,Norway,NA,"21-8, 21-8",00:26:00,Country Quota Matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Sydney,Australia,2017,2017-03-17,W,2,Alice Rohkamper,1988-09-04,28.5311431,69,Australia,Johannah Rohkamper,1985-11-04,31.3648186,69,Australia,24,Jessica Grimson,1991-03-16,26.0041068,68,England,Victoria Palmer,1986-06-24,30.7296372,72,England,9,"21-13, 21-14",00:30:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
