circuit,tournament,country,year,date,gender,match_num,w_player1,w_p1_birthdate,w_p1_age,w_p1_hgt,w_p1_country,w_player2,w_p2_birthdate,w_p2_age,w_p2_hgt,w_p2_country,w_rank,l_player1,l_p1_birthdate,l_p1_age,l_p1_hgt,l_p1_country,l_player2,l_p2_birthdate,l_p2_age,l_p2_hgt,l_p2_country,l_rank,score,duration,bracket,round,w_p1_tot_attacks,w_p1_tot_kills,w_p1_tot_errors,w_p1_tot_hitpct,w_p1_tot_aces,w_p1_tot_serve_errors,w_p1_tot_blocks,w_p1_tot_digs,w_p2_tot_attacks,w_p2_tot_kills,w_p2_tot_errors,w_p2_tot_hitpct,w_p2_tot_aces,w_p2_tot_serve_errors,w_p2_tot_blocks,w_p2_tot_digs,l_p1_tot_attacks,l_p1_tot_kills,l_p1_tot_errors,l_p1_tot_hitpct,l_p1_tot_aces,l_p1_tot_serve_errors,l_p1_tot_blocks,l_p1_tot_digs,l_p2_tot_attacks,l_p2_tot_kills,l_p2_tot_errors,l_p2_tot_hitpct,l_p2_tot_aces,l_p2_tot_serve_errors,l_p2_tot_blocks,l_p2_tot_digs
FIVB,Seoul,Korea,2007,2007-05-30,W,20,Linjun Ji,1986-05-03,21.0732375,72,China,Ying Zhang,1983-08-15,23.7891855,72,China,"26, Q4",Heike Jensen,1984-10-27,22.587269,73,Australia,Summer Lochowicz,1978-03-30,29.1663244,70,Australia,Q13,"21-16, 21-11",00:34:00,Qualifier Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Fortaleza,Brazil,2016,2016-04-26,M,68,Juan Virgen,1987-04-09,29.0485969,78,Mexico,Lombardo Ontiveros,1983-11-09,32.4626968,74,Mexico,3,Christian Sorum,1995-12-03,20.3969884,76,Norway,Morten Kvamsdal,1989-09-10,26.6255989,77,Norway,17,"21-17, 21-17",00:36:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,The Hague,Netherlands,2015,2015-06-26,W,46,Dominika Nestarcova,1984-12-12,30.5352498,70,Slovak Republic,Natalia Dubovcova,1990-07-05,24.9746749,74,Slovak Republic,14,Karen Charles,1985-11-06,29.6344969,68,Costa Rica,Natalia Alfaro,1987-04-08,28.2162902,65,Costa Rica,38,"21-17, 21-7",00:31:00,Pool K,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Marseille,France,2006,2006-07-04,W,43,Adriana Behar,1969-02-14,37.3826146,71,Brazil,Shelda Bede,1973-01-01,33.5030801,65,Brazil,3,Vasiliki Arvaniti,1985-03-17,21.2977413,72,Greece,Vasso Karadassiou,1973-01-06,33.4893908,72,Greece,6,"22-20, 15-21, 16-14",01:03:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Klagenfurt,Austria,2010,2010-07-27,M,62,Clemens Doppler,1980-09-06,29.8863792,79,Austria,Matthias Mellitzer,1980-09-09,29.8781656,77,Austria,32,Jefferson Bellaguarda,1976-09-12,33.8699521,76,Switzerland,Martin Laciga,1975-01-25,35.5017112,77,Switzerland,"25, Q2","25-23, 21-19",00:49:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Huntington Beach,United States,2005,2005-08-11,M,30,Karch Kiraly,2060-11-03,44.7693361,74,United States,Mike Lambert,1974-04-14,31.3264887,78,United States,7,Larry Witt,1979-07-13,26.0807666,78,United States,Sean Rosenthal,1980-06-19,25.1444216,76,United States,6,"14-21, 21-18, 15-11",00:53:00,Winner's Bracket,Round 4,47,25,3,0.468,0,1,0,11,19,10,3,0.368,0,1,6,4,40,22,9,0.325,1,1,2,10,33,19,4,0.455,0,1,1,13
FIVB,Rio de Janeiro,Brazil,2017,2017-05-16,W,6,Josemari Alves,1979-01-31,38.2888433,68,Brazil,Liliane Maestrini,1987-10-26,29.5550992,73,Brazil,"14, Q1",Ievgeniia Shchypkova,1987-08-15,29.7522245,72,Ukraine,Valentyna Davidova,1987-08-25,29.724846,71,Ukraine,19,"21-17, 21-17",00:35:00,Pool C,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Seattle,United States,2018,2018-06-21,W,24,Amanda Dowdy,1990-05-05,28.128679,74,United States,Irene Pollock,1988-11-10,29.6098563,73,United States,8,Karissa Cook,1991-04-08,27.2032854,71,United States,Katie Spieler,1994-10-27,23.6495551,65,United States,5,"21-18, 18-21, 15-11",00:56:00,Contender's Bracket,Round 3,25,15,2,0.52,0,2,2,3,45,27,3,0.533,1,2,0,23,25,14,2,0.48,3,2,1,1,53,23,6,0.321,1,1,0,17
AVP,Chicago,United States,2008,2008-07-10,M,21,Kevin Wong,1972-09-12,35.8247775,79,United States,Matt Olson,1980-01-02,28.5201916,74,United States,3,Bill Strickland,1980-12-26,27.5373032,81,United States,Dax Holdren,1972-09-04,35.8466804,75,United States,14,"21-17, 21-14",00:48:00,Winner's Bracket,Round 2,16,11,1,0.625,0,2,4,8,40,21,4,0.425,0,1,0,19,12,5,2,0.25,2,3,4,4,40,15,3,0.3,0,1,0,15
FIVB,Aydin,Turkey,2019,2019-05-16,W,8,Alexandra Moiseeva,1983-02-09,36.2628337,73,Russia,Ekaterina Syrtseva,1990-08-11,28.7611225,73,Russia,"11, Q2",Arianna Barboni,1996-11-13,22.5023956,74,Italy,Claudia Puccinelli,1997-11-25,21.4702259,69,Italy,Q15,"21-19, 21-13",00:29:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Vienna,Austria,2017,2017-07-28,M,18,Sam Pedlow,1987-06-14,30.1218344,77,Canada,Sam Schachter,1990-05-08,27.2224504,78,Canada,16,Ade Rachmawan,1992-12-03,24.6488706,74,Indonesia,Mohammad Ashfiya,1996-05-19,21.1909651,73,Indonesia,33,"21-13, 21-12",00:30:00,Pool I,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Chicago,United States,2008,2008-07-10,W,39,Angela Lewis,1978-03-05,30.349076,71,United States,Priscilla Piantadosi-Lima,1979-12-19,28.5585216,71,Brazil,15,Chrissie Zartman,1983-09-29,24.7802875,63,United States,Sara Johnson,1982-04-26,26.2067077,73,United States,16,"21-16, 21-15",00:41:00,Contender's Bracket,Round 2,26,13,3,0.385,0,2,0,19,36,17,3,0.389,1,2,0,11,36,13,3,0.278,1,1,0,14,21,7,3,0.19,0,0,2,10
FIVB,London,England,2012,2012-07-28,M,21,Janis Smedins,1987-07-31,24.9938398,75,Latvia,Martins Plavins,1985-05-08,27.2224504,75,Latvia,17,Igor Hernandez,1977-01-22,35.5126626,75,Venezuela,Jesus Villafane,1986-11-19,25.6892539,73,Venezuela,20,"21-14, 21-16",00:38:00,Pool E,Round 2,11,7,0,0.636,0,2,2,4,41,24,0,0.585,0,0,0,18,18,5,0,0.278,0,0,1,6,37,19,0,0.514,0,0,0,7
FIVB,Acapulco,Mexico,2006,2006-10-24,M,49,Jorre Kjemperud,2068-08-31,38.146475,74,Norway,Tarjei Skarlund,1978-11-06,27.9644079,75,Norway,17,Ahren Cadieux,1975-04-06,31.5509925,76,Canada,Mark Heese,1969-08-15,37.1909651,72,Canada,21,"26-24, 21-14",01:01:00,Contender's Bracket,Round 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2011,2011-07-05,M,56,Pedro Solberg,1986-03-27,25.2731006,76,Brazil,Rhooney Ferramenta,1985-11-07,25.6563997,72,Brazil,"20, Q1",Matteo Martino,1987-01-28,24.4325804,78,Italy,Paolo Nicolai,1988-08-06,22.9103354,80,Italy,21,"21-17, 21-17",00:35:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2002,2002-06-19,M,35,Antonio Cotrino,1976-11-25,25.5633128,79,Spain,Javier Bosma,1969-11-06,32.6160164,75,Spain,"18, Q1",Joao Brenha,1970-05-06,32.1204654,76,Portugal,Miguel Maia,1971-04-23,31.156742,71,Portugal,15,"19-21, 21-18, 15-9",00:54:00,Pool B,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Qinzhou,China,2018,2018-09-30,M,2,Jeremy Silvestre,1995-04-08,23.4798084,78,France,Romain Di Giantommaso,1994-05-25,24.3504449,72,France,17,Arnaud Gauthier-Rat,1996-10-22,21.9383984,77,France,Quincy Aye,1995-02-27,23.5893224,80,France,16,"21-18, 21-17",00:33:00,Pool A,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Phuket,Thailand,2010,2010-11-02,W,49,Ana Paula Henkel,1972-02-13,38.7186858,72,Brazil,Tatiana Minello,1970-03-01,40.6735113,66,Brazil,"32, Q32",Julie Rodrigue,1985-07-30,25.2594114,70,Canada,Katherine Zakrzewski,1979-08-25,31.1895962,71,Canada,Q17,"21-15, 18-21, 15-9",00:48:00,Qualifier Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Tenerife,Spain,2001,2001-06-13,M,18,Kevin Wong,1972-09-12,28.7501711,79,United States,Stein Metzger,1972-11-17,28.569473,75,United States,8,Nikolas Berger,1974-03-18,27.2388775,77,Austria,Oliver Stamm,2066-10-25,34.6338125,79,Austria,24,"21-18, 21-17",00:41:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Cape Town,South Africa,2004,2004-03-23,M,22,Dax Holdren,1972-09-04,31.5482546,75,United States,Stein Metzger,1972-11-17,31.3456537,75,United States,6,David Klemperer,1980-06-22,23.7508556,74,Germany,Niklas Rademacher,1982-03-03,22.0561259,81,Germany,22,"21-17, 21-15",00:40:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2002,2002-06-18,W,21,Antonella Del Core,1980-11-05,21.615332,NA,Italy,Caterina De Marinis,1970-12-24,31.4825462,64,Italy,"25, Q54",Anouk Boileau,1975-10-27,26.642026,68,Canada,Julie Morin,1978-02-16,24.3340178,68,Canada,Q11,"21-17, 21-19",00:36:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Samsun,Turkey,2018,2018-07-26,W,2,Anna Komarkova,1996-02-20,22.4284736,70,Czech Republic,Nicole Dostalova,1995-08-11,22.9568789,NA,Czech Republic,"9, Q1",Eszter Lutter,1990-07-18,28.0219028,69,Hungary,Szandra Szombathelyi,1989-08-02,28.9801506,70,Hungary,8,"21-12, 21-11",00:37:00,Pool A,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2003,2003-06-17,W,33,Leila Barros,1971-09-30,31.7125257,70,Brazil,Monica Rodrigues,2067-09-20,35.7399042,71,Brazil,"6, Q1",Liesbet Van Breedam,1979-01-27,24.386037,70,Belgium,Liesbet Vindevoghel,1979-12-29,23.4661191,NA,Belgium,Q32,"21-9, 21-16",00:33:00,Qualifier Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Moscow,Russia,2012,2012-06-07,M,20,Daniele Lupo,1991-05-06,21.0896646,77,Italy,Paolo Nicolai,1988-08-06,23.835729,80,Italy,15,Alexander Brouwer,1989-11-03,22.5927447,78,Netherlands,Robert Meeuwsen,1988-03-21,24.2135524,81,Netherlands,"31, Q11","17-21, 21-13, 15-13",00:47:00,Pool K,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Cincinnati,United States,2014,2014-08-28,M,56,Dave McKienzie,1979-07-05,35.148528399999996,75,United States,Hudson Bates,1985-03-11,29.4647502,77,United States,"13, Q2",Adam Minch,1984-01-20,30.6036961,76,United States,Nic Stojak,1980-12-29,33.6618754,74,United States,Q15,"21-19, 19-21, 15-10",00:58:00,Qualifier Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2016,2016-07-05,W,59,Madelein Meppelink,1989-11-29,26.5982204,72,Netherlands,Marleen Van Iersel,1988-01-07,28.4928131,71,Netherlands,7,Liliane Maestrini,1987-10-26,28.6926762,73,Brazil,Maria Antonelli,1984-02-25,32.3586585,69,Brazil,"21, Q2","21-18, 18-21, 15-10",00:50:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2004,2004-07-21,M,15,Francisco Alvarez,1969-04-12,35.2744695,72,Cuba,Juan Rossell,1969-12-28,34.5626283,74,Cuba,15,Kristjan Kais,1976-03-03,28.3832991,74,Estonia,Rivo Vesik,1980-07-15,24.0164271,78,Estonia,18,"23-21, 21-19",00:45:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Austin,United States,2018,2018-05-17,M,25,Casey Patterson,1980-04-20,38.072553,78,United States,Stafford Slick,1985-01-04,33.3634497,80,United States,5,Billy Allen,1981-10-15,36.5859001,74,United States,Ryan Doherty,1984-02-02,34.2861054,85,United States,3,"21-16, 21-15",00:34:00,Contender's Bracket,Round 4,20,12,1,0.55,5,2,0,4,16,13,0,0.813,1,1,2,2,10,4,3,0.1,1,3,0,6,28,21,3,0.643,1,2,1,1
FIVB,Vaduz,Liechtenstein,2019,2019-08-07,W,4,Michelle Valiente,1998-05-07,21.2511978,67,Paraguay,Patricia Caballero,1984-04-28,35.2744695,67,Paraguay,7,Kim Huber,1988-07-24,31.0362765,69,Switzerland,Melina Hubscher,2000-09-15,18.8911704,71,Switzerland,"10, Q4","19-21, 21-17, 15-10",00:55:00,Pool B,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Long Beach,United States,2013,2013-07-22,W,40,Anni Schumacher,1988-07-27,24.9856263,71,Germany,Jana Kohler,1986-01-11,27.5263518,70,Germany,20,Bibiana Candelas,1983-12-02,29.6372348,77,Mexico,Martha Revuelta,1986-09-06,26.8747433,71,Mexico,"29, Q5","21-15, 21-15",00:37:00,Pool D,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Myslowice,Poland,2011,2011-05-17,W,30,Sayaka Mizoe,1990-07-16,20.8350445,69,Japan,Shinako Tanaka,1975-07-28,35.8028747,68,Japan,Q18,Karolina Baran,1994-09-02,16.7036277,68,Poland,Katarzyna Kociolek,1995-03-11,16.183436,69,Poland,Q47,"21-16, 21-11",00:33:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Beijing,China,2012,2012-05-07,W,17,Chen Xue,1989-02-18,23.2142368,75,China,Xi Zhang,1985-04-19,27.0499658,72,China,1,Hana Skalnikova,1982-03-29,30.1081451,72,Czech Republic,Lenka Hajeckova,1978-04-18,34.0533881,68,Czech Republic,17,"21-6, 18-21, 15-11",00:44:00,Pool A,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Manhattan Beach,United States,2013,2013-08-23,M,43,Paul Baxter,1972-02-01,41.5578371,77,United States,Pedro Brazao,1979-11-27,33.7385352,77,Brazil,14,Kevin McColloch,1984-04-19,29.3442847,77,United States,Steve Grotowski,1982-05-30,31.2334018,78,England,13,"29-27, 19-21, 17-15",01:23:00,Contender's Bracket,Round 2,40,30,4,0.65,0,2,0,2,23,16,2,0.609,2,2,3,2,48,33,6,0.563,0,6,0,4,18,16,0,0.889,3,4,0,2
FIVB,Klagenfurt,Austria,2001,2001-08-01,W,78,Sandra Pires,1973-06-16,28.1259411,69,Brazil,Tatiana Minello,1970-03-01,31.4195756,66,Brazil,3,Barbra Fontana,2065-09-08,35.8959617,66,United States,Elaine Youngs,1970-02-14,31.4606434,72,United States,2,"21-19, 13-21, 15-13",01:01:00,Semifinals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Itapema,Brazil,2018,2018-05-16,M,32,Kacper Kujawiak,1994-05-02,24.0383299,74,Poland,Maciej Rudol,1993-06-27,24.8843258,77,Poland,24,Alvaro Filho,1990-11-27,27.4661191,73,Brazil,Saymon Barbosa,1993-09-08,24.6844627,79,Brazil,8,"19-21, 6-2 retired",00:31:00,Pool H,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Marseille,France,2007,2007-07-18,M,3,Fabien Dugrip,1976-03-29,31.301848,75,France,Gregory Gagliano,1980-03-06,27.3648186,78,France,9,Jose Pedrosa,1978-02-28,29.3826146,74,Portugal,Pedro Rosas,1979-09-11,27.8494182,76,Portugal,24,"18-21, 21-15, 16-14",01:06:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Berlin,Germany,2012,2012-07-10,M,29,Matt Fuerbringer,1974-01-29,38.4449008,80,United States,Nick Lucena,1979-09-22,32.7994524,73,United States,7,Jason Lochhead,1984-03-12,28.3285421,70,New Zealand,Kirk Pitman,1981-12-13,30.5735797,76,New Zealand,"23, Q3","21-15, 16-21, 15-10",00:50:00,Pool P,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Anapa,Russia,2013,2013-07-23,W,61,Christine Aulenbrock,1992-03-26,21.3251198,72,Germany,Cinja Tillmann,1991-07-13,22.0287474,69,Germany,19,Kim Behrens,1992-09-22,20.8323066,70,Germany,Sandra Seyfferth,1992-10-01,20.807666,69,Germany,28,"21-17, 21-13",00:34:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Bali,Indonesia,2003,2003-08-22,W,23,Angela Clarke,1975-11-02,27.8028747,73,Australia,Kerri Pottharst,2065-06-25,38.1574264,72,Australia,4,Heidi Byberg,1975-06-26,28.1560575,68,Norway,Kristine Wiig,1978-05-28,25.2347707,70,Norway,13,"21-16, 21-15",00:39:00,Pool D,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stavanger,Norway,2011,2011-06-27,W,4,Britta Buthe,1988-05-25,23.0882957,73,Germany,Karla Borger,1988-11-22,22.5927447,71,Germany,Q13,Anja Gunther,1983-09-05,27.8083504,74,Germany,Geeske Banck,1981-01-22,30.425735800000002,71,Germany,NA,"21-16, 24-22",00:37:00,Country Quota Matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Ostrava,Czech Republic,2018,2018-06-20,M,14,George Wanderley,1996-09-12,21.7686516,76,Brazil,Thiago Santos Barbosa,1982-12-10,35.5263518,78,Brazil,"26, Q10",Hasan Mermer,1994-11-14,23.5975359,78,Turkey,Sefa Urlu,1994-01-01,24.4654346,75,Turkey,Q23,"25-23, 21-17",00:35:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Mangaung,South Africa,2014,2014-12-09,M,18,Chris Gregory,1989-08-25,25.2895277,82,England,Jake Sheaf,1990-04-02,24.6872005,77,England,16,Abolhamed Mirzaali,NA,NA,NA,Iran,Iman Karaminezhad,1987-06-07,27.5071869,NA,Iran,"32, Q12","10-21, 21-13, 15-13",00:45:00,Pool A,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Rome,Italy,2012,2012-06-13,M,51,Matt Fuerbringer,1974-01-29,38.3709788,80,United States,Nick Lucena,1979-09-22,32.7255305,73,United States,12,Jonas Reckermann,1979-05-26,33.0513347,79,Germany,Julius Brink,1982-07-06,29.9383984,73,Germany,3,"21-15, 19-21, 15-9",00:56:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Moscow,Russia,2019,2019-08-14,W,23,Ana Patricia Silva,1998-09-29,20.8733744,76,Brazil,Rebecca Cavalcanti,1993-04-23,26.3080082,69,Brazil,4,Elsa Baquerizo,1987-06-25,32.1368925,71,Spain,Liliana Fernandez,1987-01-04,32.6078029,70,Spain,13,"21-17, 21-23, 15-10",00:52:00,Pool D,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Klagenfurt,Austria,2011,2011-08-02,M,50,Petr Benes,1974-11-27,36.678987,78,Czech Republic,Premysl Kubala,1973-12-16,37.6262834,80,Czech Republic,19,Daan Spijkers,1987-03-06,24.4079398,74,Netherlands,Emiel Boersma,1980-08-25,30.934976,81,Netherlands,"29, Q3","21-19, 21-19",00:44:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Manhattan Beach,United States,2019,2019-08-15,M,7,Peter Connole,1991-06-29,28.128679,79,United States,Steven Roschitz,1993-02-22,26.4750171,NA,United States,20,Ian Satterfield,1991-08-08,28.019165,78,United States,Mark Burik,1985-08-12,34.0068446,75,United States,13,"21-13, 21-18",00:50:00,Winner's Bracket,Round 1,30,18,4,0.467,2,0,0,7,24,13,5,0.333,2,8,0,16,15,6,2,0.267,0,3,0,6,33,15,7,0.242,0,0,4,10
AVP,Belmar,United States,2005,2005-07-08,M,15,Matthew Terrell,2068-02-09,37.4099932,79,United States,Peter Weremay,1975-01-11,30.4887064,73,United States,Q36,Leon Lucas,1971-05-05,34.1765914,79,United States,Mike Potts,1977-06-08,28.0821355,72,United States,Q29,"21-15, 21-16",NA,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Sentosa,Singapore,2018,2018-06-21,W,10,Charlotte Sider,1992-08-31,25.8042437,71,Canada,Marie-Christine Lapointe,NA,NA,72,Canada,Q7,Anna Dostalova,1991-01-19,27.4195756,69,Czech Republic,Diana Zolnercikova,1989-11-15,28.5968515,71,Czech Republic,Q18,"21-15, 18-21, 15-13",00:51:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Brooklyn,United States,2007,2007-08-23,W,58,Annett Davis,1973-09-22,33.9164956,71,United States,Jenny Johnson Jordan,1973-06-08,34.2067077,70,United States,4,Angie Akers,1976-06-30,31.1457906,72,United States,Brooke Niles,1981-03-11,26.4503765,68,United States,7,"21-17, 21-16",00:42:00,Contender's Bracket,Round 6,23,14,1,0.565,2,5,0,10,26,15,3,0.462,1,1,1,9,19,11,2,0.474,0,1,0,4,32,11,5,0.188,1,2,0,12
